# Date:     2026-03-27 03:15:44
# Database: ocvs
# Target:   lmc_ecl
# Query:    TRUE  LIMIT 50000
# Objects:  40204
# Columns:
ID	Type	I	P
OGLE-LMC-ECL-00001	NC	18.681	7.34672220
OGLE-LMC-ECL-00002	NC	18.080	38.85477130
OGLE-LMC-ECL-00003	NC	19.493	3.74180080
OGLE-LMC-ECL-00004	NC	15.942	237.87329320
OGLE-LMC-ECL-00005	NC	18.108	100.42352360
OGLE-LMC-ECL-00006	NC	19.483	3.01381920
OGLE-LMC-ECL-00007	NC	19.749	1.76386780
OGLE-LMC-ECL-00009	NC	18.566	7.86378520
OGLE-LMC-ECL-00010	NC	18.593	15.40354950
OGLE-LMC-ECL-00011	NC	19.456	2.88659220
OGLE-LMC-ECL-00012	NC	19.828	4.74479540
OGLE-LMC-ECL-00013	NC	18.827	12.36963050
OGLE-LMC-ECL-00014	NC	19.135	2.24626490
OGLE-LMC-ECL-00015	NC	17.056	1.36806230
OGLE-LMC-ECL-00016	NC	19.753	2.10818190
OGLE-LMC-ECL-00017	NC	18.735	13.68894020
OGLE-LMC-ECL-00018	NC	19.461	16.06518960
OGLE-LMC-ECL-00019	NC	19.090	5.08167760
OGLE-LMC-ECL-00020	NC	18.691	9.59907030
OGLE-LMC-ECL-00021	NC	19.528	4.50253110
OGLE-LMC-ECL-00022	NC	18.769	4.23243950
OGLE-LMC-ECL-00023	NC	19.471	1.47523960
OGLE-LMC-ECL-00024	NC	19.708	2.55673890
OGLE-LMC-ECL-00025	NC	19.131	5.20118700
OGLE-LMC-ECL-00026	NC	17.861	15.70684710
OGLE-LMC-ECL-00027	NC	19.410	4.89032160
OGLE-LMC-ECL-00028	NC	19.228	3.41763300
OGLE-LMC-ECL-00029	NC	19.162	2.86033870
OGLE-LMC-ECL-00030	NC	18.772	3.73752410
OGLE-LMC-ECL-00031	NC	19.621	1.12698650
OGLE-LMC-ECL-00032	NC	18.348	53.70433130
OGLE-LMC-ECL-00033	NC	19.055	3.49827070
OGLE-LMC-ECL-00034	NC	17.283	19.92150090
OGLE-LMC-ECL-00035	NC	19.652	2.58622780
OGLE-LMC-ECL-00036	NC	19.568	3.28991670
OGLE-LMC-ECL-00037	NC	18.172	172.11800090
OGLE-LMC-ECL-00038	NC	15.229	618.06140090
OGLE-LMC-ECL-00039	NC	19.356	1.79768440
OGLE-LMC-ECL-00040	NC	19.208	7.21422090
OGLE-LMC-ECL-00041	C	15.225	0.36572560
OGLE-LMC-ECL-00042	NC	19.662	2.25791030
OGLE-LMC-ECL-00043	NC	19.096	1.82083620
OGLE-LMC-ECL-00044	NC	19.177	5.62958300
OGLE-LMC-ECL-00045	NC	16.432	18.74320120
OGLE-LMC-ECL-00046	NC	18.135	83.79845470
OGLE-LMC-ECL-00047	NC	19.391	3.26530950
OGLE-LMC-ECL-00048	NC	19.127	5.45867690
OGLE-LMC-ECL-00049	NC	19.730	3.75812470
OGLE-LMC-ECL-00050	NC	19.261	9.99816010
OGLE-LMC-ECL-00051	NC	19.842	1.74086120
OGLE-LMC-ECL-00052	NC	18.419	3.70867060
OGLE-LMC-ECL-00053	NC	19.211	5.32857470
OGLE-LMC-ECL-00054	NC	19.237	3.83759110
OGLE-LMC-ECL-00055	NC	19.552	3.15831150
OGLE-LMC-ECL-00056	NC	17.867	7.07484520
