# Date:     2026-03-25 00:46:11
# Database: ocvs
# Target:   all_cepheids
# Query:    TRUE 
# Objects:  11689
# Columns:
ID	Mode	I	P_1	dP_1
OGLE-BLG-CEP-001	F	17.398	2.5975765	0.0000021
OGLE-BLG-CEP-002	F	15.735	2.0255702	0.0000007
OGLE-BLG-CEP-003	F1	16.412	1.2357287	0.0000036
OGLE-BLG-CEP-004	12	16.18	0.2400461	0.0000002
OGLE-BLG-CEP-005	F	15.374	3.7955932	0.0000157
OGLE-BLG-CEP-007	F	16.417	1.5455082	0.0000007
OGLE-BLG-CEP-009	12	16.019	0.2725673	0.0000002
OGLE-BLG-CEP-015	1	15.885	0.529967	0.0000003
OGLE-BLG-CEP-016	123	14.002	0.2954563	0.0000003
OGLE-BLG-CEP-018	F	19.537	2.8467837	0.0000713
OGLE-BLG-CEP-019	12	14.103	0.2865322	0.0000002
OGLE-BLG-CEP-020	1	14.672	0.4406768	0.0000003
OGLE-BLG-CEP-021	F1	16.836	0.7785575	0.0000008
OGLE-BLG-CEP-024	1	15.636	0.3554242	0.0000003
OGLE-BLG-CEP-027	1	14.623	0.2965297	0.0000002
OGLE-BLG-CEP-029	F	14.32	2.3760846	0.0000381
OGLE-BLG-CEP-030	123	14.184	0.2303703	0.0000002
OGLE-BLG-CEP-031	F	11.839	12.9751466	0.0011364
OGLE-BLG-CEP-032	F	15.066	3.7364307	0.0000015
OGLE-BLG-CEP-033	1	16.104	0.39351	0.0000003
OGLE-BLG-CEP-034	1	15.65	0.4746541	0.0000008
OGLE-BLG-CEP-035	1	16.934	0.4685696	0.0000003
OGLE-BLG-CEP-036	1	15.745	1.1949535	0.0000004
OGLE-BLG-CEP-037	F	18.18	1.6005475	0.0000014
OGLE-BLG-CEP-038	F	15.682	5.2448058	0.0000042
OGLE-BLG-CEP-039	1	16.25	1.3584854	0.0000032
OGLE-BLG-CEP-040	F	16.325	3.0221707	0.0000067
OGLE-BLG-CEP-041	123	14.62	0.2396132	0.0000003
OGLE-BLG-CEP-042	F	19.834	3.7808614	0.0001702
OGLE-BLG-CEP-043	12	16.459	0.3600401	0.0000003
OGLE-BLG-CEP-044	1	17.066	0.5829357	0.0000004
OGLE-BLG-CEP-045	F	17.495	2.9381529	0.0000022
OGLE-BLG-CEP-046	1	15.971	4.2915269	0.0000266
OGLE-BLG-CEP-047	1	16.671	3.9648264	0.000107
OGLE-BLG-CEP-048	12	17.959	0.7412166	0.0000009
OGLE-BLG-CEP-049	1	16.853	2.3069942	0.0000032
OGLE-BLG-CEP-050	1	17.005	0.4792028	0.0000004
OGLE-BLG-CEP-051	F	12.511	8.4874218	0.0000167
OGLE-BLG-CEP-052	F	16.496	18.6514169	0.0029014
OGLE-BLG-CEP-053	F	19.834	1.5045725	0.0000059
OGLE-BLG-CEP-054	1	16.767	3.6404909	0.00001
OGLE-BLG-CEP-055	1	17.055	0.5052686	0.0000005
OGLE-BLG-CEP-056	1	16.034	4.7692005	0.0000199
OGLE-BLG-CEP-057	F	18.642	3.7816002	0.00002
OGLE-BLG-CEP-058	1	15.611	4.4882866	0.0000063
OGLE-BLG-CEP-059	12	16.462	0.3494707	0.0000003
OGLE-BLG-CEP-060	F	16.335	4.6387299	0.0000104
OGLE-BLG-CEP-061	F	18.753	3.3743802	0.0000401
OGLE-BLG-CEP-062	F	18.356	1.5662371	0.0000055
OGLE-BLG-CEP-063	1	17.063	1.3796397	0.0000035
OGLE-BLG-CEP-064	1	15.661	0.6488823	0.0000005
OGLE-BLG-CEP-065	F	17.5	4.5188188	0.0000275
OGLE-BLG-CEP-066	1	16.913	2.981618	0.0000062
OGLE-BLG-CEP-067	1	14.511	2.6106775	0.0000035
OGLE-BLG-CEP-068	1	17.138	0.3716871	0.0000003
OGLE-BLG-CEP-069	1	15.685	3.3322428	0.0000069
OGLE-BLG-CEP-070	12	17.239	1.2101225	0.0000023
OGLE-BLG-CEP-072	1	17.384	0.4916521	0.0000007
OGLE-BLG-CEP-073	F	16.185	2.2670663	0.0000008
OGLE-BLG-CEP-074	F	18.813	3.3794802	0.0000168
OGLE-BLG-CEP-075	1	14.478	0.5308047	0.000001
OGLE-BLG-CEP-076	F	13.825	10.3208143	0.0012474
OGLE-BLG-CEP-077	F1	15.588	3.5197143	0.0000083
OGLE-BLG-CEP-078	12	17.787	0.3247106	0.0000003
OGLE-BLG-CEP-079	F	14.383	18.4787925	0.0000855
OGLE-BLG-CEP-080	12	16.582	0.332843	0.0000002
OGLE-BLG-CEP-081	F	14.928	5.956569	0.0000058
OGLE-BLG-CEP-082	1	16.85	1.1074515	0.0000011
OGLE-BLG-CEP-083	1	17.137	0.841453	0.0000023
OGLE-BLG-CEP-084	F	17.582	3.3030919	0.0000158
OGLE-BLG-CEP-085	1	16.291	1.3953955	0.0000041
OGLE-BLG-CEP-086	1	16.263	2.2584649	0.0000044
OGLE-BLG-CEP-087	1	16.391	2.2217498	0.0000121
OGLE-BLG-CEP-088	1	15.969	2.1050223	0.0000032
OGLE-BLG-CEP-089	F	17.393	7.6668862	0.0001582
OGLE-BLG-CEP-090	F	16.047	2.4796349	0.0000026
OGLE-BLG-CEP-091	F	18.019	19.4395236	0.000412
OGLE-BLG-CEP-092	F	18.251	6.8130756	0.000073
OGLE-BLG-CEP-093	F	18.318	3.7335299	0.0000368
OGLE-BLG-CEP-094	12	17.326	0.3678112	0.0000003
OGLE-BLG-CEP-096	F	19.43	2.0451091	0.0000104
OGLE-BLG-CEP-097	1	17.337	0.4928012	0.0000017
OGLE-BLG-CEP-098	F1	16.051	0.6706528	0.0000018
OGLE-BLG-CEP-099	F	14.294	12.2747748	0.0000227
OGLE-BLG-CEP-100	12	15.803	0.2408082	0.0000002
OGLE-BLG-CEP-101	1	14.889	2.6911802	0.0000105
OGLE-BLG-CEP-102	1	14.987	1.1002527	0.0000016
OGLE-BLG-CEP-103	F	16.397	12.1989394	0.0009957
OGLE-BLG-CEP-104	F1	13.791	3.677442	0.0000971
OGLE-BLG-CEP-105	F	18.016	14.3901374	0.0051107
OGLE-BLG-CEP-106	F	17.696	3.8797267	0.0003305
OGLE-BLG-CEP-107	1	14.986	5.6753405	0.0001096
OGLE-BLG-CEP-108	F	18.013	10.1915711	0.003757
OGLE-BLG-CEP-110	F	11.541	23.2967459	0.001091
OGLE-BLG-CEP-111	F	12.588	15.0697618	0.0005315
OGLE-BLG-CEP-112	F	13.274	7.3351299	0.0002072
OGLE-BLG-CEP-113	F	14.035	6.9544933	0.0002279
OGLE-BLG-CEP-115	F	14.981	9.1850029	0.000513
OGLE-BLG-CEP-116	F	17.233	5.3463479	0.0000321
OGLE-BLG-CEP-118	1	14.86	2.9685062	0.0001544
OGLE-BLG-CEP-119	1	15.002	2.1378739	0.0000673
OGLE-BLG-CEP-120	F	17.07	7.9724085	0.00112
OGLE-BLG-CEP-121	F	19.296	31.6254935	0.0709711
OGLE-BLG-CEP-122	F	14.731	12.8113364	0.0005861
OGLE-BLG-CEP-123	F	14.014	13.6804203	0.0008554
OGLE-BLG-CEP-124	F	11.052	12.1069568	0.0009309
OGLE-BLG-CEP-125	F	12.059	14.2554358	0.00037
OGLE-BLG-CEP-126	1	11.476	5.9417173	0.0003838
OGLE-BLG-CEP-127	F	16.774	5.5188369	0.0001487
OGLE-BLG-CEP-128	F	16.046	45.6403848	0.0204348
OGLE-BLG-CEP-129	F	16.116	3.7215013	0.0000124
OGLE-BLG-CEP-130	F	16.981	3.3259257	0.000014
OGLE-BLG-CEP-131	F	17.919	10.2138005	0.0044557
OGLE-BLG-CEP-132	F	17.509	2.1471796	0.000109
OGLE-BLG-CEP-133	F	17.398	7.3881862	0.0027905
OGLE-BLG-CEP-134	F	14.319	6.2995341	0.0003458
OGLE-BLG-CEP-135	1	13.74	5.9670903	0.000573
OGLE-BLG-CEP-136	F	18.107	12.9563587	0.0082373
OGLE-BLG-CEP-137	1	14.28	4.7994885	0.0003876
OGLE-BLG-CEP-138	F	16.264	19.7988478	0.0070521
OGLE-BLG-CEP-139	F	15.558	14.5497275	0.0013295
OGLE-BLG-CEP-140	F	12.714	12.7743744	0.0001976
OGLE-BLG-CEP-141	1	16.761	1.1016201	0.0000304
OGLE-BLG-CEP-143	F	17.582	7.2013231	0.0004015
OGLE-BLG-CEP-144	F	15.27	15.8860601	0.000366
OGLE-BLG-CEP-145	F	16.221	2.6288044	0.0000164
OGLE-BLG-CEP-146	F	17.559	3.2863102	0.0000417
OGLE-BLG-CEP-147	F1	14.166	7.5324579	0.0001573
OGLE-BLG-CEP-148	F	16.216	3.9272103	0.0000604
OGLE-BLG-CEP-149	F	11.007	12.51812	0.0002665
OGLE-BLG-CEP-150	1	11.551	7.1804674	0.0001342
OGLE-BLG-CEP-151	F	17.477	4.0969883	0.0001386
OGLE-BLG-CEP-152	F1	14.626	8.5281853	0.0002525
OGLE-BLG-CEP-153	F	16.981	16.6908545	0.000964
OGLE-BLG-CEP-154	F	16.387	2.8128528	0.0000386
OGLE-BLG-CEP-155	F	15.329	8.2672169	0.0003494
OGLE-BLG-CEP-156	F	11.612	10.2347881	0.0001111
OGLE-BLG-CEP-157	F	13.785	21.6322811	0.0008658
OGLE-BLG-CEP-158	F	16.818	19.7554785	0.0009212
OGLE-BLG-CEP-159	F	16.605	6.3735554	0.0001829
OGLE-BLG-CEP-160	F	17.281	5.973063	0.0003636
OGLE-BLG-CEP-161	F	17.25	3.5464146	0.000038
OGLE-BLG-CEP-162	F	17.374	14.5920153	0.000345
OGLE-BLG-CEP-163	F1	17.779	3.235678	0.000081
OGLE-BLG-CEP-164	F	14.149	13.6269709	0.0001579
OGLE-BLG-CEP-165	F	14.6	6.4524413	0.0000559
OGLE-BLG-CEP-166	F	14.317	7.5288534	0.0000375
OGLE-BLG-CEP-167	F	12.862	11.0294235	0.0002008
OGLE-BLG-CEP-168	F	17.298	12.5401143	0.0041092
OGLE-BLG-CEP-169	F1	14.781	0.7145965	0.0000106
OGLE-BLG-CEP-170	1	15.666	0.5835113	0.000001
OGLE-BLG-CEP-171	F	13.725	1.6729989	0.0000025
OGLE-BLG-CEP-172	23	16.006	1.6297716	0.0000174
OGLE-BLG-CEP-173	1	12.155	5.9164489	0.0004054
OGLE-BLG-CEP-174	1	16.729	5.7676435	0.0007302
OGLE-BLG-CEP-175	F	18.162	20.0344111	0.0170184
OGLE-BLG-CEP-176	F	18.43	5.1768215	0.0011851
OGLE-BLG-CEP-177	12	16.203	0.9044294	0.0000015
OGLE-BLG-CEP-178	12	17.041	0.2681422	0.0000006
OGLE-BLG-CEP-179	F1	14.508	0.3407586	0.0000007
OGLE-BLG-CEP-180	1	16.736	0.5209425	0.0000014
OGLE-BLG-CEP-181	F	15.611	6.5164858	0.0007138
OGLE-BLG-CEP-182	12	12.413	0.3367195	0.000002
OGLE-BLG-CEP-183	F	17.987	17.0123087	0.0064019
OGLE-BLG-CEP-184	12	15.255	0.2898775	0.0000012
OGLE-BLG-CEP-185	F	19.098	4.422686	0.0012691
OGLE-BLG-CEP-186	12	15.317	0.2935823	0.000001
OGLE-BLG-CEP-187	1	13.282	0.3924286	0.0000015
OGLE-BLG-CEP-189	F	17.747	3.3921796	0.0001567
OGLE-BLG-CEP-190	1	15.726	2.4232878	0.000019
OGLE-BLG-CEP-191	F	16.339	3.4481412	0.0000239
OGLE-BLG-CEP-192	12	16.657	0.2494515	0.0000003
OGLE-BLG-CEP-193	F	19.566	7.4948408	0.000369
OGLE-BLG-CEP-194	12	14.043	0.2763776	0.0000031
OGLE-BLG-CEP-195	F	19.755	16.9129018	0.0092479
OGLE-BLG-CEP-196	1	15.63	0.2535585	0.0000003
OGLE-BLG-CEP-197	F	18.291	4.5789969	0.0002182
OGLE-BLG-CEP-198	12	14.596	0.4170013	0.0000007
OGLE-BLG-CEP-199	1	14.64	5.1048949	0.0002346
OGLE-BLG-CEP-200	1	14.185	0.5728295	0.0000005
OGLE-BLG-CEP-201	F	14.652	2.5792382	0.0000054
OGLE-BLG-CEP-202	F	17.955	2.6432409	0.0000544
OGLE-BLG-CEP-203	1	13.858	3.8262236	0.0000304
OGLE-BLG-CEP-204	F	17.776	4.1985937	0.0002479
OGLE-BLG-CEP-205	F1	17.449	0.3235705	0.0000014
OGLE-BLG-CEP-206	1	14.059	1.6899852	0.000044
OGLE-BLG-CEP-207	F	14.283	3.711792	0.0001575
OGLE-BLG-CEP-208	1	14.301	0.6406176	0.0000004
OGLE-GD-CEP-0001	1	14.227	1.3048034	0.0000057
OGLE-GD-CEP-0002	F	15.004	1.5809397	0.0000029
OGLE-GD-CEP-0003	F	13.419	4.6324134	0.0000035
OGLE-GD-CEP-0004	12	14.51	0.9118954	0.0000008
OGLE-GD-CEP-0005	1	14.665	2.4165492	0.0000048
OGLE-GD-CEP-0006	12	16.496	0.5339554	0.0000009
OGLE-GD-CEP-0007	F	15.445	4.5602694	0.0000063
OGLE-GD-CEP-0008	F	15.113	9.5417689	0.0000602
OGLE-GD-CEP-0009	F1	15.553	1.6762002	0.0000294
OGLE-GD-CEP-0010	F	15.48	16.1344711	0.0001172
OGLE-GD-CEP-0011	F	15.231	4.3093236	0.0000094
OGLE-GD-CEP-0012	F1	14.82	0.6557437	0.0000007
OGLE-GD-CEP-0014	12	16.283	0.847276	0.0000111
OGLE-GD-CEP-0015	F	13.862	8.7467163	0.0000299
OGLE-GD-CEP-0016	1	14.807	1.9626461	0.0000091
OGLE-GD-CEP-0017	1	15.166	1.9150865	0.0000091
OGLE-GD-CEP-0018	12	15.944	0.7146674	0.0000014
OGLE-GD-CEP-0019	F	15.196	3.3613955	0.0000078
OGLE-GD-CEP-0020	F	13.6	4.8248737	0.0000014
OGLE-GD-CEP-0021	F	12.453	2.8437201	0.0000077
OGLE-GD-CEP-0022	12	14.257	0.6531747	0.0000018
OGLE-GD-CEP-0023	F	13.044	3.0205459	0.0000112
OGLE-GD-CEP-0024	F	14.158	1.964288	0.0000097
OGLE-GD-CEP-0025	F	12.099	9.1525206	0.0000864
OGLE-GD-CEP-0026	1	11.864	2.210576	0.0000114
OGLE-GD-CEP-0027	F	14.54	2.1459374	0.0000026
OGLE-GD-CEP-0028	F	11.732	3.5635103	0.0000205
OGLE-GD-CEP-0029	F	13.606	5.9921586	0.0000708
OGLE-GD-CEP-0030	F	12.745	2.5218446	0.0000158
OGLE-GD-CEP-0031	F1	13.081	0.4055173	0.0000016
OGLE-GD-CEP-0032	1	11.824	0.3905318	0.0000005
OGLE-GD-CEP-0033	F	11.813	3.1811963	0.0000046
OGLE-GD-CEP-0034	1	12.173	2.1974002	0.0000073
OGLE-GD-CEP-0035	F	11.898	3.087237	0.000005
OGLE-GD-CEP-0036	F	11.905	1.5318564	0.0000018
OGLE-GD-CEP-0037	12	12.826	0.6407137	0.0000014
OGLE-GD-CEP-0038	1	11.631	1.9512216	0.0000128
OGLE-GD-CEP-0039	12	11.691	1.0966645	0.000003
OGLE-GD-CEP-0040	1	12.46	1.1981949	0.0000036
OGLE-GD-CEP-0041	1	11.23	2.4974125	0.0000201
OGLE-GD-CEP-0043	F	11.175	4.802502	0.0000248
OGLE-GD-CEP-0044	F	11.635	5.0905386	0.0000224
OGLE-GD-CEP-0046	F	11.155	4.662175	0.0000271
OGLE-GD-CEP-0047	1	12.406	2.0993886	0.0000213
OGLE-GD-CEP-0048	F	11.813	6.7168817	0.0000407
OGLE-GD-CEP-0049	1	13.501	1.6633722	0.0000068
OGLE-GD-CEP-0050	F	12.791	6.3273776	0.0000774
OGLE-GD-CEP-0052	1	12.143	1.5146353	0.0000049
OGLE-GD-CEP-0053	1	15.108	0.6029186	0.0000012
OGLE-GD-CEP-0054	F	10.887	4.978264	0.0001282
OGLE-GD-CEP-0057	12	10.989	1.2886245	0.0000046
OGLE-GD-CEP-0058	1	11.006	2.7980303	0.0000295
OGLE-GD-CEP-0059	1	12.828	1.8233091	0.0000087
OGLE-GD-CEP-0060	F	12.66	1.9194476	0.0000027
