# Date:     2026-03-27 03:10:16
# Database: ocvs
# Target:   lmc_rrlyr
# Query:    TRUE 
# Objects:  41471
# Columns:
ID	I	P_1	dP_1
OGLE-LMC-RRLYR-00001	18.772	0.63475210	0.00000100
OGLE-LMC-RRLYR-00002	18.844	0.62551790	0.00000260
OGLE-LMC-RRLYR-00003	18.649	0.65649710	0.00000140
OGLE-LMC-RRLYR-00004	18.808	0.51238430	0.00000160
OGLE-LMC-RRLYR-00005	18.942	0.64335190	0.00000340
OGLE-LMC-RRLYR-00006	18.766	0.60001920	0.00000140
OGLE-LMC-RRLYR-00007	18.866	0.55285610	0.00000120
OGLE-LMC-RRLYR-00008	18.674	0.78771520	0.00000310
OGLE-LMC-RRLYR-00009	18.895	0.35802100	0.00000120
OGLE-LMC-RRLYR-00010	18.813	0.59407430	0.00000160
OGLE-LMC-RRLYR-00011	18.878	0.55357540	0.00000140
OGLE-LMC-RRLYR-00012	18.695	0.60956210	0.00000300
OGLE-LMC-RRLYR-00013	18.874	0.36333170	0.00000280
OGLE-LMC-RRLYR-00014	18.954	0.63949310	0.00000370
OGLE-LMC-RRLYR-00015	18.871	0.35574030	0.00000090
OGLE-LMC-RRLYR-00016	19.028	0.59839110	0.00000130
OGLE-LMC-RRLYR-00017	18.863	0.57596490	0.00000190
OGLE-LMC-RRLYR-00018	18.599	0.64169590	0.00000080
OGLE-LMC-RRLYR-00019	19.237	0.42523210	0.00000090
OGLE-LMC-RRLYR-00020	18.872	0.37298250	0.00000130
OGLE-LMC-RRLYR-00021	18.819	0.37935300	0.00000120
OGLE-LMC-RRLYR-00022	18.801	0.51523440	0.00000070
OGLE-LMC-RRLYR-00023	18.956	0.54603300	0.00000070
OGLE-LMC-RRLYR-00024	18.799	0.57338620	0.00000300
OGLE-LMC-RRLYR-00025	18.783	0.60011440	0.00000230
OGLE-LMC-RRLYR-00026	18.817	0.63347830	0.00000130
OGLE-LMC-RRLYR-00027	18.502	0.79388210	0.00000300
OGLE-LMC-RRLYR-00028	18.969	0.58336420	0.00000110
OGLE-LMC-RRLYR-00029	18.574	0.43684350	0.00000240
OGLE-LMC-RRLYR-00030	18.656	0.67329600	0.00000300
OGLE-LMC-RRLYR-00031	18.871	0.63797590	0.00000710
OGLE-LMC-RRLYR-00032	18.825	0.35353960	0.00000080
OGLE-LMC-RRLYR-00033	18.994	0.47265730	0.00000050
OGLE-LMC-RRLYR-00034	18.858	0.50000820	0.00000130
OGLE-LMC-RRLYR-00035	18.957	0.35514680	0.00000100
OGLE-LMC-RRLYR-00036	18.917	0.60932990	0.00000200
OGLE-LMC-RRLYR-00037	18.747	0.67058680	0.00000400
OGLE-LMC-RRLYR-00038	18.964	0.27218470	0.00000100
OGLE-LMC-RRLYR-00039	18.870	0.62129860	0.00000150
OGLE-LMC-RRLYR-00040	19.037	0.62028990	0.00000150
OGLE-LMC-RRLYR-00041	18.907	0.62656050	0.00000240
OGLE-LMC-RRLYR-00042	18.824	0.39259860	0.00000130
OGLE-LMC-RRLYR-00043	18.885	0.56265430	0.00000220
OGLE-LMC-RRLYR-00044	18.798	0.63913250	0.00000310
OGLE-LMC-RRLYR-00045	18.852	0.58648530	0.00000150
OGLE-LMC-RRLYR-00046	18.792	0.36101490	0.00000120
OGLE-LMC-RRLYR-00047	19.015	0.47947960	0.00000050
OGLE-LMC-RRLYR-00048	18.887	0.49973370	0.00000100
OGLE-LMC-RRLYR-00049	18.990	0.48158910	0.00000040
OGLE-LMC-RRLYR-00050	18.980	0.56478710	0.00000080
OGLE-LMC-RRLYR-00051	18.918	0.55102550	0.00000130
OGLE-LMC-RRLYR-00052	18.929	0.35367820	0.00000120
